Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
p,P1,Ethernet1,192.168.102.18/31,p,P5,Ethernet2,192.168.102.19/31
p,P1,Ethernet2,192.168.102.1/31,pe,PE1,Ethernet2,192.168.102.0/31
p,P1,Ethernet3,192.168.102.5/31,pe,PE2,Ethernet2,192.168.102.4/31
p,P1,Ethernet4,192.168.102.20/31,p,P6,Ethernet4,192.168.102.21/31
p,P2,Ethernet1,192.168.102.26/31,p,P6,Ethernet2,192.168.102.27/31
p,P2,Ethernet2,192.168.102.3/31,pe,PE1,Ethernet3,192.168.102.2/31
p,P2,Ethernet3,192.168.102.7/31,pe,PE2,Ethernet3,192.168.102.6/31
p,P2,Ethernet4,192.168.102.24/31,p,P5,Ethernet4,192.168.102.25/31
p,P3,Ethernet1,192.168.102.31/31,p,P5,Ethernet3,192.168.102.30/31
p,P3,Ethernet2,192.168.102.36/31,pe,PE3,Ethernet2,192.168.102.37/31
p,P3,Ethernet3,192.168.102.38/31,pe,PE4,Ethernet2,192.168.102.39/31
p,P3,Ethernet4,192.168.102.33/31,p,P6,Ethernet5,192.168.102.32/31
p,P4,Ethernet1,192.168.102.35/31,p,P6,Ethernet3,192.168.102.34/31
p,P4,Ethernet2,192.168.102.40/31,pe,PE3,Ethernet3,192.168.102.41/31
p,P4,Ethernet3,192.168.102.42/31,pe,PE4,Ethernet3,192.168.102.43/31
p,P4,Ethernet4,192.168.102.33/31,p,P5,Ethernet5,192.168.102.32/31
p,P5,Ethernet1,192.168.102.28/31,p,P6,Ethernet1,192.168.102.29/31
pe,PE1,Ethernet1,192.168.102.8/31,pe,PE2,Ethernet1,192.168.102.9/31
pe,PE1,Ethernet6,192.168.102.10/31,rr,RR5,Ethernet6,192.168.102.11/31
pe,PE1,Ethernet8,192.168.102.12/31,rr,RR6,Ethernet10,192.168.102.13/31
pe,PE2,Ethernet6,192.168.102.14/31,rr,RR5,Ethernet7,192.168.102.15/31
pe,PE2,Ethernet8,192.168.102.16/31,rr,RR6,Ethernet13,192.168.102.17/31
pe,PE3,Ethernet1,192.168.102.44/31,pe,PE4,Ethernet1,192.168.102.45/31
pe,PE3,Ethernet6,192.168.102.48/31,rr,RR6,Ethernet6,192.168.102.49/31
pe,PE3,Ethernet8,192.168.102.46/31,rr,RR5,Ethernet10,192.168.102.47/31
pe,PE4,Ethernet6,192.168.102.52/31,rr,RR6,Ethernet7,192.168.102.53/31
pe,PE4,Ethernet8,192.168.102.50/31,rr,RR5,Ethernet13,192.168.102.51/31
